area,beds,date,floor,island,locality,price,size,title
San Fernando,2,2020-09-15,1,Mallorca,San Bartolomé de Tirajana,185000,60,"Flat / Apartment in San Fernando, San Bartolomé de Tirajana"
Playa del Inglés,2,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,200000,60,"Flat / Apartment in Playa del Inglés, San Bartolomé de Tirajana"
Vecindario norte-Cruce Sardina,3,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,179000,95,"Flat / Apartment in Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
3,2,2020-09-15,2,Mallorca,Ingenio,68900,65,"Flat / Apartment in calle Hermanos de la Salle, 3, Ingenio"
Vecindario norte-Cruce Sardina,4,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,156500,103,"Duplex in Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Arenales - Lugo - Avda Marítima,2,2020-09-15,3,Mallorca,Las Palmas de Gran Canaria,176000,101,"Flat / Apartment in Tomás Morales, Arenales - Lugo - Avda Marítima, Las Palmas de Gran Canaria"
Callejón del Castillo - El Calero - Las Huesas,3,2020-09-15,3,Mallorca,Telde,116500,96,"Flat / Apartment in Callejón del Castillo - El Calero - Las Huesas, Telde"
El Tablero,2,2020-09-15,2,Mallorca,San Bartolomé de Tirajana,153000,62,"Flat / Apartment in calle Jamaica, El Tablero, San Bartolomé de Tirajana"
Vecindario-Paredilla-Sardina,2,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,109000,70,"Flat / Apartment in camino de la Madera, 109, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
Altavista - Don Zoilo,4,2020-09-15,10,Mallorca,Las Palmas de Gran Canaria,193000,110,"Flat / Apartment in Carlos Mauricio Blandy, Altavista - Don Zoilo, Las Palmas de Gran Canaria"
San Fernando,3,2020-09-15,3,Mallorca,San Bartolomé de Tirajana,117000,84,"Flat / Apartment in C/Valsequillo, 5, San Fernando, San Bartolomé de Tirajana"
San Juan,4,2020-09-15,3,Mallorca,Telde,178000,110,"Flat / Apartment in calle Ciega, 11, San Juan, Telde"
Vecindario-Paredilla-Sardina,2,2020-09-15,1,Mallorca,Santa Lucía de Tirajana,88000,72,"Flat / Apartment in calle el Molino, 21, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
Vecindario-Paredilla-Sardina,4,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,170000,114,"Penthouse in calle ajuy, 3, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana"
Vecindario norte-Cruce Sardina,2,2020-09-15,3,Mallorca,Santa Lucía de Tirajana,105000,80,"Penthouse in calle Marianela, 9, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
16,2,2020-09-15,2,Mallorca,Valsequillo de Gran Canaria,89000,80,"Penthouse in carretera los juagarzos, 16, Valsequillo de Gran Canaria"
16,2,2020-09-15,1,Mallorca,Valsequillo de Gran Canaria,89000,75,"Flat / Apartment in calle los juagarzos, 16, Valsequillo de Gran Canaria"
Vecindario norte-Cruce Sardina,3,2020-09-15,2,Mallorca,Santa Lucía de Tirajana,140000,60,"Flat / Apartment in calle bentejuí, 2, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana"
Santidad,2,2020-09-15,2,Mallorca,Arucas,150000,80,"Flat / Apartment in calle la Gomera, 18, Santidad, Arucas"
Arenales - Lugo - Avda Marítima,2,2020-09-15,3,Mallorca,Las Palmas de Gran Canaria,150000,75,"Flat / Apartment in Arenales - Lugo - Avda Marítima, Las Palmas de Gran Canaria"
Cruce de Arinaga,3,2020-09-15,2,Mallorca,Agüimes,130000,125,"Flat / Apartment in avenida Ansite, 68, Cruce de Arinaga, Agüimes"
Vecindario-Los Llanos,2,2020-09-15,4,Mallorca,Santa Lucía de Tirajana,120000,80,"Penthouse in ingeniero doreste, 51, Vecindario-Los Llanos, Santa Lucía de Tirajana"
