area,address,number,price,date,size,transaction_type,full_address,lat,long
Old Quarter,"16  Millers Court, Old Quarter Ballincollig",16,114537,2013-02-21,38-125 m2,new,"16 16  Millers Court, Old Quarter Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Muskerry Estate,"43 Castle Avenue, Muskerry Estate, Ballincollig",43,122000,2013-02-26,1-38 m2,second-hand,"43 43 Castle Avenue, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Town Center,"Fernhurst, Poulavone, Ballincollig",1,330000,2013-03-06,1-38 m2,second-hand,"1 Fernhurst, Poulavone, Ballincollig, Town Center",51.8878563321983,-8.600737381727024
Rosewood,"94 Rosewood Estate, Ballincollig, Cork",94,127500,2013-03-08,1-38 m2,second-hand,"94 94 Rosewood Estate, Ballincollig, Cork, Rosewood",51.88865181082447,-8.575978970851866
Old Quarter,"No. 11 Millers Court, Old Quarter, Ballincollig",No.,114537,2013-03-08,38-125 m2,new,"No. No. 11 Millers Court, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Westcourt,"16 Westcourt, Ballincollig",16,200000,2013-03-12,1-38 m2,second-hand,"16 16 Westcourt, Ballincollig, Westcourt",51.88681255417706,-8.616295628522487
Coolroe Meadows,"98 The Green, Coolroe Meadows, Ballincollig",98,225000,2013-03-19,1-38 m2,second-hand,"98 98 The Green, Coolroe Meadows, Ballincollig, Coolroe Meadows",51.88363432099277,-8.616138226350916
The Maltings,"51 Distillery Court, The Maltings, Ballincollig",51,120000,2013-03-25,1-38 m2,second-hand,"51 51 Distillery Court, The Maltings, Ballincollig, The Maltings",51.88503727921537,-8.591352822622822
Town Center,"8 Chapel Gate, Ballincollig",8,121000,2013-04-09,1-38 m2,second-hand,"8 8 Chapel Gate, Ballincollig, Town Center",51.8878563321983,-8.600737381727024
Carrigrohane,"Coolatubrid, Carrigrohane, Cork",1,150000,2013-04-09,1-38 m2,second-hand,"1 Coolatubrid, Carrigrohane, Cork, Carrigrohane",51.89118108080445,-8.570433423222292
Maglin,"Rustic Lodge, Maglin, Ballincollig",Rustic,634000,2013-04-12,1-38 m2,second-hand,"Rustic Rustic Lodge, Maglin, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Rosewood,"144 Rosewood Estate, Ballincollig",144,116000,2013-04-15,1-38 m2,second-hand,"144 144 Rosewood Estate, Ballincollig, Rosewood",51.88865181082447,-8.575978970851866
The Cloisters,"45 The Cloisters, Ballincollig, Co Cork",45,160700,2013-04-15,1-38 m2,second-hand,"45 45 The Cloisters, Ballincollig, Co Cork, The Cloisters",51.88453436126935,-8.578108099687265
Old Quarter,"51 Leslies Arch, Old Quarter, Ballincollig",51,230000,2013-04-18,1-38 m2,second-hand,"51 51 Leslies Arch, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Westcourt,"12  Westcourt, Ballincollig, Co. Cork",12,167500,2013-05-02,1-38 m2,second-hand,"12 12  Westcourt, Ballincollig, Co. Cork, Westcourt",51.88681255417706,-8.616295628522487
Old Quarter,"15 Millers Court, Old Quarter, Ballincollig",15,114537,2013-05-13,38-125 m2,new,"15 15 Millers Court, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Old Quarry,"22 Old Quarry, Coolroe, Ballincollig",22,128000,2013-05-17,1-38 m2,second-hand,"22 22 Old Quarry, Coolroe, Ballincollig, Old Quarry",51.885810656686274,-8.616955372698976
Coolroe,"82 The Lawn, Coolroe Meadows, Ballincollig",82,263000,2013-05-21,1-38 m2,second-hand,"82 82 The Lawn, Coolroe Meadows, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Carrigrohane,"Raheen, Carrigrohane",Raheen,200000,2013-05-21,1-38 m2,second-hand,"Raheen Raheen, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
Maglin,"11 Glincool Villas, Ballincollig",11,162000,2013-05-27,1-38 m2,second-hand,"11 11 Glincool Villas, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Coolroe Meadows,"34 The Green, Coolroe Meadows, Ballincollig",34,180000,2013-06-06,1-38 m2,second-hand,"34 34 The Green, Coolroe Meadows, Ballincollig, Coolroe Meadows",51.88363432099277,-8.616138226350916
Muskerry Estate,"71 Beech Road, Muskerry Estate, Ballincollig",71,152000,2013-06-06,1-38 m2,second-hand,"71 71 Beech Road, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Carrigrohane,"'Idaho', Kerry Pike, Carrigrohane",1,245000,2013-06-07,1-38 m2,second-hand,"1 'Idaho', Kerry Pike, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
Greenfield,"90 Old Court, Greenfields, Ballincollig",90,251500,2013-06-10,1-38 m2,second-hand,"90 90 Old Court, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
An Caislean,"21 Tara, An Caislean, Ballincollig",21,140000,2013-06-19,1-38 m2,second-hand,"21 21 Tara, An Caislean, Ballincollig, An Caislean",51.88419579207018,-8.604721941977742
Carrigrohane,"Bracken Lodge, Carrigrohane",1,490000,2013-06-26,1-38 m2,second-hand,"1 Bracken Lodge, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
Carriganarra,"Carriganarra, Ballincollig",1,180000,2013-07-05,1-38 m2,second-hand,"1 Carriganarra, Ballincollig, Carriganarra",51.88456579585057,-8.579854607281877
Maglin,"36 Limeworth, Carriganarra",36,500422,2013-07-09,125-1000 m2,new,"36 36 Limeworth, Carriganarra, Maglin",51.88135112776452,-8.59523805920491
Carrigrohanebeg,"187 The Willows, Ballincollig, Co. Cork",187,120000,2013-07-10,1-38 m2,second-hand,"187 187 The Willows, Ballincollig, Co. Cork, Carrigrohanebeg",51.89309917070151,-8.580849757357647
Maglin,"23  Limeworth, Carriganarra, Carrigrohane",23,515000,2013-07-10,1-38 m2,second-hand,"23 23  Limeworth, Carriganarra, Carrigrohane, Maglin",51.88135112776452,-8.59523805920491
Maglin,"20 Limeworth, Carriganarra, Carrigrohane",20,505000,2013-07-17,1-38 m2,second-hand,"20 20 Limeworth, Carriganarra, Carrigrohane, Maglin",51.88135112776452,-8.59523805920491
An Caislean,"21 Newgrange, An Caislean, Ballincollig",21,125000,2013-07-18,1-38 m2,second-hand,"21 21 Newgrange, An Caislean, Ballincollig, An Caislean",51.88419579207018,-8.604721941977742
Carrigrohanebeg,"175 The Willows, Ballincollig",175,140000,2013-07-19,1-38 m2,second-hand,"175 175 The Willows, Ballincollig, Carrigrohanebeg",51.89309917070151,-8.580849757357647
Castlepark,"Tir Na Nog, Killumney Road, Ballincollig",Tir,306000,2013-07-22,1-38 m2,second-hand,"Tir Tir Na Nog, Killumney Road, Ballincollig, Castlepark",51.88653927567583,-8.585310716875346
Coolroe,"68 The Lawn, Coolroe Meadows, Ballincollig",68,162000,2013-07-26,1-38 m2,second-hand,"68 68 The Lawn, Coolroe Meadows, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Coolroe,"51 The Lawn, Coolroe Meadows, Ballincollig",51,100500,2013-07-29,1-38 m2,second-hand,"51 51 The Lawn, Coolroe Meadows, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Carrigrohane,"Moyne House, Clash Cross, Carrigrohane",Moyne,425000,2013-08-01,1-38 m2,second-hand,"Moyne Moyne House, Clash Cross, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
An Caislean,"No. 23 An Caislean, Ballincollig, County Cork",No.,165000,2013-08-01,1-38 m2,second-hand,"No. No. 23 An Caislean, Ballincollig, County Cork, An Caislean",51.88419579207018,-8.604721941977742
Westcliffe,"5 Westcliffe, Ballincollig",5,260000,2013-08-02,1-38 m2,second-hand,"5 5 Westcliffe, Ballincollig, Westcliffe",51.887434286790445,-8.602624759204692
An Caislean,"44 An Caislean Drive, Ballincollig",44,136000,2013-08-07,1-38 m2,second-hand,"44 44 An Caislean Drive, Ballincollig, An Caislean",51.88419579207018,-8.604721941977742
Greenfield,"34 Woodberry, Greenfields, Ballincollig",34,299999,2013-08-15,1-38 m2,second-hand,"34 34 Woodberry, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Carrigrohane,"Annadrumman, Temple Hill, Carrigrohane",1,870000,2013-08-15,1-38 m2,second-hand,"1 Annadrumman, Temple Hill, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
Maglin,"19  Glincool Crescent, Ballincollig",19,150000,2013-08-22,1-38 m2,second-hand,"19 19  Glincool Crescent, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
The Cloisters,"62 The Cloisters, Ballincollig, Cork",62,175000,2013-09-04,1-38 m2,second-hand,"62 62 The Cloisters, Ballincollig, Cork, The Cloisters",51.88453436126935,-8.578108099687265
Coolroe Meadows,"64 The Green, Coolroe Meadows, Ballincollig",64,279000,2013-09-05,1-38 m2,second-hand,"64 64 The Green, Coolroe Meadows, Ballincollig, Coolroe Meadows",51.88363432099277,-8.616138226350916
Coolroe Meadows,"28 Aylesbury, Ballincollig",28,155000,2013-09-06,1-38 m2,second-hand,"28 28 Aylesbury, Ballincollig, Coolroe Meadows",51.88363432099277,-8.616138226350916
Classis Lake,"1 The Oaks, Classes  Lake, Ballincollig",1,240000,2013-09-09,1-38 m2,second-hand,"1 1 The Oaks, Classes  Lake, Ballincollig, Classis Lake",51.88586099008718,-8.62822296864587
Greenfield,"27  Fernwalk, Greenfields, Ballincollig",27,385000,2013-09-09,1-38 m2,second-hand,"27 27  Fernwalk, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Greenfield,"20 Old Court, Greenfields, Ballincollig",20,343000,2013-09-13,1-38 m2,second-hand,"20 20 Old Court, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Old Quarter,"23 Leslies Arch, Old Quarter, Ballincollig",23,115000,2013-09-13,1-38 m2,second-hand,"23 23 Leslies Arch, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Parknamore,"30 Parknamore Heights, Ballincollig",30,187000,2013-09-13,1-38 m2,second-hand,"30 30 Parknamore Heights, Ballincollig, Parknamore",51.88458744794133,-8.609309161051812
Old Quarter,"14 Millers Court, Old Quarter, Ballincollig",14,130000,2013-09-17,1-38 m2,second-hand,"14 14 Millers Court, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Old Quarter,"35 Waltham Abbey, Old Quarter, Ballincollig",35,188000,2013-09-18,1-38 m2,second-hand,"35 35 Waltham Abbey, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Manor Hill,"47 Manor Hill, Ballincollig, Cork",47,172000,2013-09-29,1-38 m2,second-hand,"47 47 Manor Hill, Ballincollig, Cork, Manor Hill",51.89121035709487,-8.575907457357648
Muskerry Estate,"34 Park Road, Muskerry Estate, Ballincollig",34,123556,2013-09-30,1-38 m2,second-hand,"34 34 Park Road, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Coolroe Meadows,"82 The Green, Coolroe Meadows, Ballincollig",82,210000,2013-09-30,1-38 m2,second-hand,"82 82 The Green, Coolroe Meadows, Ballincollig, Coolroe Meadows",51.88363432099277,-8.616138226350916
Inniscarra View,"40 Greystones, Ballincollig",40,230000,2013-10-04,1-38 m2,second-hand,"40 40 Greystones, Ballincollig, Inniscarra View",51.88901621244116,-8.572065214668026
Old Quarter,"30 Waltham Abbey, Old Quarter, Ballincollig",30,251101,2013-10-07,125-1000 m2,new,"30 30 Waltham Abbey, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Coolroe,"19 Lisheen Fields, Ballincollig",19,281938,2013-10-09,125-1000 m2,new,"19 19 Lisheen Fields, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Town Center,"10 Distillery Court, The Maltings, Station Road  Ballincollig",10,119000,2013-10-11,1-38 m2,second-hand,"10 10 Distillery Court, The Maltings, Station Road  Ballincollig, Town Center",51.8878563321983,-8.600737381727024
Rosewood,"2 Rosewood Estate, Ballincollig",2,170000,2013-10-16,1-38 m2,second-hand,"2 2 Rosewood Estate, Ballincollig, Rosewood",51.88865181082447,-8.575978970851866
An Caislean,"3 An Caislean, Ballincollig",3,135000,2013-10-18,1-38 m2,second-hand,"3 3 An Caislean, Ballincollig, An Caislean",51.88419579207018,-8.604721941977742
Rosewood,"193 Rosewood Estate, Ballincollig, Cork",193,167000,2013-11-01,1-38 m2,second-hand,"193 193 Rosewood Estate, Ballincollig, Cork, Rosewood",51.88865181082447,-8.575978970851866
Leecourt,"100 Leecourt, Ballincollig",100,125000,2013-11-06,1-38 m2,second-hand,"100 100 Leecourt, Ballincollig, Leecourt",51.8915162277775,-8.581342570851831
The Cloisters,"48 The Cloisters, Ballincollig",48,160000,2013-11-15,1-38 m2,second-hand,"48 48 The Cloisters, Ballincollig, The Cloisters",51.88453436126935,-8.578108099687265
Old Quarter,"50 Leslies Arch, Old Quarter, Ballincollig",50,230000,2013-11-15,1-38 m2,second-hand,"50 50 Leslies Arch, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Carriganarra,"3 St Clairs, 3 Carriganarra Estate, Ballincollig",3,200000,2013-11-21,1-38 m2,second-hand,"3 3 St Clairs, 3 Carriganarra Estate, Ballincollig, Carriganarra",51.88456579585057,-8.579854607281877
Old Quarter,"3 Waltham Abbey, Old Quarter, Ballincollig",3,325000,2013-11-21,1-38 m2,second-hand,"3 3 Waltham Abbey, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Coolroe,"45  The Close, Coolroe Meadows, Ballincollig",45,225000,2013-11-22,1-38 m2,second-hand,"45 45  The Close, Coolroe Meadows, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
City West Mews,"12 Citi West Mews, Ballincollig, Cork",12,132500,2013-11-26,1-38 m2,second-hand,"12 12 Citi West Mews, Ballincollig, Cork, City West Mews",51.88510951386978,-8.607681457357844
Great Island,"16 Westgrove, Coolroe, Ballincollig",16,250000,2013-11-29,1-38 m2,second-hand,"16 16 Westgrove, Coolroe, Ballincollig, Great Island",51.88932940267005,-8.619904411563992
Aylsbury,"6 Aylsbury Court, Ballincollig",6,283800,2013-12-01,1-38 m2,second-hand,"6 6 Aylsbury Court, Ballincollig, Aylsbury",51.88284449037205,-8.620440916875388
Manor Hill,"14 Manor Hill, Ballincollig",14,166000,2013-12-02,1-38 m2,second-hand,"14 14 Manor Hill, Ballincollig, Manor Hill",51.89121035709487,-8.575907457357648
Inniscarra View,"20 Whitethorn Ave, Inniscarra, Ballincollig",20,160000,2013-12-05,1-38 m2,second-hand,"20 20 Whitethorn Ave, Inniscarra, Ballincollig, Inniscarra View",51.88901621244116,-8.572065214668026
Muskerry Estate,"93 Shamrock Dr, Muskerry Estate, Ballincollig",93,240000,2013-12-06,1-38 m2,second-hand,"93 93 Shamrock Dr, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Old Quarry,"9 Old Quarry, Ballincollig",9,127000,2013-12-13,1-38 m2,second-hand,"9 9 Old Quarry, Ballincollig, Old Quarry",51.885810656686274,-8.616955372698976
Wyndham Downs,"4 Wyndham Downs, Ballincollig, Cork",4,190000,2013-12-17,1-38 m2,second-hand,"4 4 Wyndham Downs, Ballincollig, Cork, Wyndham Downs",51.88594295587414,-8.620296147557605
An Caislean,"192 An Caislean View, Ballincollig, Cork",192,135000,2013-12-19,1-38 m2,second-hand,"192 192 An Caislean View, Ballincollig, Cork, An Caislean",51.88419579207018,-8.604721941977742
Old Quarry,"27 Old Quarry, Coolroe, Ballincollig",27,146000,2013-12-19,1-38 m2,second-hand,"27 27 Old Quarry, Coolroe, Ballincollig, Old Quarry",51.885810656686274,-8.616955372698976
Maglin,"3 Maglin Dr, Maglin, Ballincollig",3,200000,2013-12-19,1-38 m2,second-hand,"3 3 Maglin Dr, Maglin, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
West Village,"6 The Meadows, West Village, Ballincollig",6,143000,2013-12-19,1-38 m2,second-hand,"6 6 The Meadows, West Village, Ballincollig, West Village",51.88675485217772,-8.606397553304374
Maglin,"10 Glincool Cresent, Maglin Rd, Ballincollig",10,160000,2013-12-20,1-38 m2,second-hand,"10 10 Glincool Cresent, Maglin Rd, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Inniscarra View,"26 Whitethorn Dr, Inniscarra View, Ballincollig",26,170000,2013-12-20,1-38 m2,second-hand,"26 26 Whitethorn Dr, Inniscarra View, Ballincollig, Inniscarra View",51.88901621244116,-8.572065214668026
Highfield,"5 The Crescent, Highfield Park, Ballincollig",5,265000,2013-12-23,1-38 m2,second-hand,"5 5 The Crescent, Highfield Park, Ballincollig, Highfield",51.88483134751023,-8.573114016875365
Greenfield,"45 Oldcourt, Greenfields, Ballincollig",45,218000,2013-12-30,1-38 m2,second-hand,"45 45 Oldcourt, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Parknamore,"19 Parknamore Rise, Ballincollig, Cork",19,165000,2014-01-06,1-38 m2,second-hand,"19 19 Parknamore Rise, Ballincollig, Cork, Parknamore",51.88458744794133,-8.609309161051812
Old Quarter,"19 Waltham Abbey, Old Quarter, Ballincollig",19,355000,2014-01-16,1-38 m2,second-hand,"19 19 Waltham Abbey, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Muskerry Estate,"99 Beech Rd, Muskerry Estate, Ballincollig",99,190000,2014-01-16,1-38 m2,second-hand,"99 99 Beech Rd, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Aylsbury,"1 Aylsbury Court, Ballincollig, Cork",1,308000,2014-01-17,1-38 m2,second-hand,"1 1 Aylsbury Court, Ballincollig, Cork, Aylsbury",51.88284449037205,-8.620440916875388
Old Quarter,"120 Leslies Arch, Old Quarter, Ballincollig",120,135000,2014-01-22,1-38 m2,second-hand,"120 120 Leslies Arch, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Old Quarter,"118 Leslies Arch, Old Quarter, Ballincollig",118,130000,2014-01-29,1-38 m2,second-hand,"118 118 Leslies Arch, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Westcliffe,"37 Westcliffe, Ballincollig, Cork",37,285000,2014-02-12,1-38 m2,second-hand,"37 37 Westcliffe, Ballincollig, Cork, Westcliffe",51.887434286790445,-8.602624759204692
Greenfield,"73 Old Court, Greenfields, Ballincollig",73,239750,2014-02-13,1-38 m2,second-hand,"73 73 Old Court, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
The Cloisters,"11 The Cloisters, Ballincollig, Cork",11,165000,2014-02-19,1-38 m2,second-hand,"11 11 The Cloisters, Ballincollig, Cork, The Cloisters",51.88453436126935,-8.578108099687265
Daffodil Fields,"50 Daffodil Fields, Ballincollig, Cork",50,317000,2014-02-24,1-38 m2,second-hand,"50 50 Daffodil Fields, Ballincollig, Cork, Daffodil Fields",51.89114262893351,-8.573402430369397
Westcourt,"90 Westcourt Heights, Ballincollig, Cork",90,183000,2014-02-26,1-38 m2,second-hand,"90 90 Westcourt Heights, Ballincollig, Cork, Westcourt",51.88681255417706,-8.616295628522487
Rosewood,"189 Rosewood, Ballincollig, Cork",189,188500,2014-02-27,1-38 m2,second-hand,"189 189 Rosewood, Ballincollig, Cork, Rosewood",51.88865181082447,-8.575978970851866
Beech Park,"144 Beech Park, Ballincollig, Cork",144,200000,2014-02-28,1-38 m2,second-hand,"144 144 Beech Park, Ballincollig, Cork, Beech Park",51.884462825784524,-8.586660730369518
Old Quarter,"117 Leslies Arch, Old Quarter, Ballincollig",117,136000,2014-03-04,1-38 m2,second-hand,"117 117 Leslies Arch, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Highfield,"15 The Avenue, Highfield Park, Ballincollig",15,195000,2014-03-07,1-38 m2,second-hand,"15 15 The Avenue, Highfield Park, Ballincollig, Highfield",51.88483134751023,-8.573114016875365
Muskerry Estate,"44 Park Rd, Muskerry Estate, Ballincollig",44,128000,2014-03-11,1-38 m2,second-hand,"44 44 Park Rd, Muskerry Estate, Ballincollig, Muskerry Estate",51.885514844369936,-8.596310161258103
Coolroe,"20 The Close, Coolroe Meadows, Ballincollig",20,235000,2014-03-24,1-38 m2,second-hand,"20 20 The Close, Coolroe Meadows, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
Carrigrohane,"18 The Square, Highfield Park, Carrigrohane",18,110000,2014-03-25,38-125 m2,new,"18 18 The Square, Highfield Park, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
Carrigrohane,"Temple Hill, Carrigrohane, Cork",Temple,228000,2014-03-27,1-38 m2,second-hand,"Temple Temple Hill, Carrigrohane, Cork, Carrigrohane",51.89118108080445,-8.570433423222292
Aylsbury,"9 Aylsbury Ave, Ballincollig, Cork",9,240000,2014-03-28,1-38 m2,second-hand,"9 9 Aylsbury Ave, Ballincollig, Cork, Aylsbury",51.88284449037205,-8.620440916875388
The Maltings,"18 Grannary Court, The Maltings, Ballincollig",18,135000,2014-04-03,1-38 m2,second-hand,"18 18 Grannary Court, The Maltings, Ballincollig, The Maltings",51.88503727921537,-8.591352822622822
Town Center,"5 Odonovans Crescent, Ballincollig, Cork",5,120000,2014-04-10,1-38 m2,second-hand,"5 5 Odonovans Crescent, Ballincollig, Cork, Town Center",51.8878563321983,-8.600737381727024
Old Quarter,"32 Leslies Arch, Old Quarter, Ballincollig",32,260000,2014-04-15,1-38 m2,second-hand,"32 32 Leslies Arch, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Beech Park,"25 Cranford Pines, Ballincollig, Cork",25,210000,2014-04-23,1-38 m2,second-hand,"25 25 Cranford Pines, Ballincollig, Cork, Beech Park",51.884462825784524,-8.586660730369518
Town Center,"Poulavone, Next To Manor Hill, Ballincollig",1,215000,2014-04-23,1-38 m2,second-hand,"1 Poulavone, Next To Manor Hill, Ballincollig, Town Center",51.8878563321983,-8.600737381727024
Old Quarter,"5  Miller'S Court, Old Quarter, Ballincollig",5,200000,2014-04-25,38-125 m2,new,"5 5  Miller'S Court, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
West Village,"6 The Paddocks, Ballincollig, Cork",6,215000,2014-04-25,1-38 m2,second-hand,"6 6 The Paddocks, Ballincollig, Cork, West Village",51.88675485217772,-8.606397553304374
The Cloisters,"28 The Cloisters, Ballincollig, Cork",28,167500,2014-04-30,1-38 m2,second-hand,"28 28 The Cloisters, Ballincollig, Cork, The Cloisters",51.88453436126935,-8.578108099687265
The Cloisters,"14 The Cloisters, Ballincollig, Cork",14,165000,2014-05-02,1-38 m2,second-hand,"14 14 The Cloisters, Ballincollig, Cork, The Cloisters",51.88453436126935,-8.578108099687265
An Caislean,"169 An Caislean, Ballincollig",169,186000,2014-05-06,1-38 m2,second-hand,"169 169 An Caislean, Ballincollig, An Caislean",51.88419579207018,-8.604721941977742
Greenfield,"10 Old Court Dr, Greenfields, Ballincollig",10,242620,2014-05-13,1-38 m2,second-hand,"10 10 Old Court Dr, Greenfields, Ballincollig, Greenfield",51.88072634468435,-8.611355403381312
Maglin,"2 Limeworth, Kilumney Rd, Ballincollig",2,560000,2014-05-16,1-38 m2,second-hand,"2 2 Limeworth, Kilumney Rd, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
Carrigrohane,"58 Bridgewater, Carrigrohane, Cork",58,280000,2014-05-17,1-38 m2,second-hand,"58 58 Bridgewater, Carrigrohane, Cork, Carrigrohane",51.89118108080445,-8.570433423222292
The Maltings,"23 Barley Grove, The Maltings, Ballincollig",23,160000,2014-05-23,1-38 m2,second-hand,"23 23 Barley Grove, The Maltings, Ballincollig, The Maltings",51.88503727921537,-8.591352822622822
Great Island,"15 Westgrove, Ballincollig, Cork",15,255700,2014-05-30,1-38 m2,second-hand,"15 15 Westgrove, Ballincollig, Cork, Great Island",51.88932940267005,-8.619904411563992
Powdermills,"Powdermills, Ballincollig, Cork",1,145000,2014-06-05,1-38 m2,second-hand,"1 Powdermills, Ballincollig, Cork, Powdermills",51.89225015549648,-8.586096438526356
Old Quarter,"61 Coopers Grange, Old Quarter, Ballincollig",61,176211,2014-06-06,38-125 m2,new,"61 61 Coopers Grange, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Maglin,"6 Glincool Villas, Maglin Rd, Ballincollig",6,158000,2014-06-16,1-38 m2,second-hand,"6 6 Glincool Villas, Maglin Rd, Ballincollig, Maglin",51.88135112776452,-8.59523805920491
The Cloisters,"75 The Cloisters, Ballincollig",75,182000,2014-06-25,1-38 m2,second-hand,"75 75 The Cloisters, Ballincollig, The Cloisters",51.88453436126935,-8.578108099687265
Old Quarter,"111 Leslies Arch Old Quarter, Ballincollig, Cork",111,235000,2014-06-26,1-38 m2,second-hand,"111 111 Leslies Arch Old Quarter, Ballincollig, Cork, Old Quarter",51.89135716416238,-8.596625374545809
Old Quarter,"13 Millers Court, Old Quarter, Ballincollig",13,133039,2014-06-26,38-125 m2,new,"13 13 Millers Court, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Carrigrohane,"Healy'S Bridge, Carrigrohane, Co. Cork",1,207500,2014-06-30,1-38 m2,second-hand,"1 Healy'S Bridge, Carrigrohane, Co. Cork, Carrigrohane",51.89118108080445,-8.570433423222292
Old Quarter,"104 Coopers Grange, Old Quarter, Ballincollig",104,286343,2014-07-02,38-125 m2,new,"104 104 Coopers Grange, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Old Quarter,"12 Millers Court, Old Quarter, Ballincollig",12,176178,2014-07-02,38-125 m2,new,"12 12 Millers Court, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Greenfield,"42 Woodberry Greenfields, Ballincollig, Cork",42,480000,2014-07-04,1-38 m2,second-hand,"42 42 Woodberry Greenfields, Ballincollig, Cork, Greenfield",51.88072634468435,-8.611355403381312
Town Center,"Kilcrea, Poulavone, Ballincollig",1,365000,2014-07-10,1-38 m2,second-hand,"1 Kilcrea, Poulavone, Ballincollig, Town Center",51.8878563321983,-8.600737381727024
Old Quarter,"71 Coopers Grange, Old Quarter, Ballincollig",71,145000,2014-07-11,1-38 m2,second-hand,"71 71 Coopers Grange, Old Quarter, Ballincollig, Old Quarter",51.89135716416238,-8.596625374545809
Carrigrohane,"Oakley, Templehill, Carrigrohane",Oakley,297000,2014-07-11,1-38 m2,second-hand,"Oakley Oakley, Templehill, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
Coolroe,"21 Coolroe Heights, Ballincollig, Cork",21,165000,2014-07-14,1-38 m2,second-hand,"21 21 Coolroe Heights, Ballincollig, Cork, Coolroe",51.885279789132504,-8.622716969745719
Maglin,"4 Maglin Grove, Ballincollig, Co Cork",4,290001,2014-07-14,125-1000 m2,new,"4 4 Maglin Grove, Ballincollig, Co Cork, Maglin",51.88135112776452,-8.59523805920491
Coolroe,"72 The Lawn, Coolroe Meadows, Ballincollig",72,215000,2014-07-16,1-38 m2,second-hand,"72 72 The Lawn, Coolroe Meadows, Ballincollig, Coolroe",51.885279789132504,-8.622716969745719
The Crescent,"69 The Crescent, Old Fort Road, Ballincollig",69,132158,2014-07-17,1-38 m2,second-hand,"69 69 The Crescent, Old Fort Road, Ballincollig, The Crescent",51.88974689003794,-8.592724974545812
Carrigrohane,"Ballycannon, Kerry Pike, Carrigrohane",1,190000,2014-07-17,1-38 m2,second-hand,"1 Ballycannon, Kerry Pike, Carrigrohane, Carrigrohane",51.89118108080445,-8.570433423222292
