title,island,locality,price,beds,size,link,date,advert_type
2 Bedroom Apartment in Arrecife,Lanzarote,Arrecife,106000,2,45,https://www.kyero.com/en/property/7467086-apartment-for-sale-arrecife,2020-12-29 10:29:37.877761+00:00,sale
2 Bedroom Apartment in Tias,Lanzarote,Tias,140000,2,64,https://www.kyero.com/en/property/7401606-apartment-for-sale-tias,2020-12-29 10:29:37.880166+00:00,sale
2 Bedroom Apartment in Arrecife,Lanzarote,Arrecife,110000,2,66,https://www.kyero.com/en/property/7401550-apartment-for-sale-arrecife,2020-12-29 10:29:37.882710+00:00,sale
2 Bedroom Apartment in Teguise,Lanzarote,Teguise,145000,2,65,https://www.kyero.com/en/property/8134062-apartment-for-sale-teguise,2020-12-29 10:29:37.885278+00:00,sale
3 Bedroom Apartment in Arrecife,Lanzarote,Arrecife,136000,3,98,https://www.kyero.com/en/property/7770355-apartment-for-sale-arrecife,2020-12-29 10:29:37.888030+00:00,sale
2 Bedroom Apartment in Tinajo,Lanzarote,Tinajo,139000,2,70,https://www.kyero.com/en/property/8119240-apartment-for-sale-tinajo,2020-12-29 10:29:37.891227+00:00,sale
2 Bedroom Apartment in Playa Blanca (Yaiza),Lanzarote,Playa Blanca (Yaiza),145000,2,70,https://www.kyero.com/en/property/8028609-apartment-for-sale-playa-blanca-yaiza,2020-12-29 10:29:37.894146+00:00,sale
2 Bedroom Apartment in Tias,Lanzarote,Tias,145000,2,79,https://www.kyero.com/en/property/6049682-apartment-for-sale-tias,2020-12-29 10:29:37.896989+00:00,sale
2 Bedroom Apartment in Yaiza,Lanzarote,Yaiza,134000,2,56,https://www.kyero.com/en/property/6887042-apartment-for-sale-yaiza,2020-12-29 10:29:37.899597+00:00,sale
3 Bedroom Apartment in Teguise,Lanzarote,Teguise,142500,3,89,https://www.kyero.com/en/property/7532981-apartment-for-sale-teguise,2020-12-29 10:29:37.902347+00:00,sale
2 Bedroom Apartment in La Santa,Lanzarote,La Santa,139000,2,68,https://www.kyero.com/en/property/7385899-apartment-for-sale-la-santa,2020-12-29 10:29:37.905226+00:00,sale
3 Bedroom Apartment in Arrecife,Lanzarote,Arrecife,150000,3,90,https://www.kyero.com/en/property/7532975-apartment-for-sale-arrecife,2020-12-29 10:29:37.908809+00:00,sale
2 Bedroom Apartment in Costa Teguise,Lanzarote,Costa Teguise,150000,2,60,https://www.kyero.com/en/property/7872634-apartment-for-sale-costa-teguise,2020-12-29 10:29:37.912504+00:00,sale
2 Bedroom Duplex in Playa Blanca (Yaiza),Lanzarote,Playa Blanca (Yaiza),147500,2,84,https://www.kyero.com/en/property/7110851-apartment-for-sale-playa-blanca-yaiza,2020-12-29 10:29:37.926539+00:00,sale
2 Bedroom Apartment in Yaiza,Lanzarote,Yaiza,148000,2,65,https://www.kyero.com/en/property/7917124-apartment-for-sale-yaiza,2020-12-29 10:29:37.929371+00:00,sale
2 Bedroom Duplex in Playa Blanca (Yaiza),Lanzarote,Playa Blanca (Yaiza),149000,2,95,https://www.kyero.com/en/property/5686538-apartment-for-sale-playa-blanca-yaiza,2020-12-29 10:29:37.932081+00:00,sale
2 Bedroom Apartment in Tinajo,Lanzarote,Tinajo,89000,2,51,https://www.kyero.com/en/property/7110849-apartment-for-sale-tinajo,2020-12-29 10:29:37.934773+00:00,sale
3 Bedroom Apartment in Tias,Lanzarote,Tias,106500,3,86,https://www.kyero.com/en/property/7917127-apartment-for-sale-tias,2020-12-29 10:29:37.937440+00:00,sale
"Penthouse in calle del Llac Enol, Son Rapinya - Los Almendros, Palma de Mallorca",Mallorca,Palma de Mallorca,176000,3,77,https://www.idealista.com/en/inmueble/90854414/,2020-12-29 10:29:37.940024+00:00,sale
"Flat / Apartment in Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,145000,2,77,https://www.idealista.com/en/inmueble/84974949/,2020-12-29 10:29:37.942692+00:00,sale
"Flat / Apartment in Felanitx centro, Felanitx",Mallorca,Felanitx,180000,3,125,https://www.idealista.com/en/inmueble/90293489/,2020-12-29 10:29:37.959699+00:00,sale
"Flat / Apartment in Andratx Pueblo, Andratx",Mallorca,Andratx,179000,2,90,https://www.idealista.com/en/inmueble/89695987/,2020-12-29 10:29:37.962545+00:00,sale
Flat / Apartment in Muro,Mallorca,Muro,159000,3,111,https://www.idealista.com/en/inmueble/35092731/,2020-12-29 10:29:37.965120+00:00,sale
"Flat / Apartment in calle Fra Antoni Torrens, Blanquer, Inca",Mallorca,Inca,159000,4,125,https://www.idealista.com/en/inmueble/91419552/,2020-12-29 10:29:37.967842+00:00,sale
"Flat / Apartment in Uetam, Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,199000,2,73,https://www.idealista.com/en/inmueble/91418244/,2020-12-29 10:29:37.970460+00:00,sale
"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,185000,3,80,https://www.idealista.com/en/inmueble/85109262/,2020-12-29 10:29:37.973034+00:00,sale
"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,198000,3,95,https://www.idealista.com/en/inmueble/90949910/,2020-12-29 10:29:37.975526+00:00,sale
"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,156000,3,80,https://www.idealista.com/en/inmueble/91410208/,2020-12-29 10:29:37.978037+00:00,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,195000,4,117,https://www.idealista.com/en/inmueble/91409631/,2020-12-29 10:29:37.980473+00:00,sale
"Flat / Apartment in calle de la Porta de Santa Margalida, Sa Indiotería - Son Castelló, Palma de Mallorca",Mallorca,Palma de Mallorca,137000,3,90,https://www.idealista.com/en/inmueble/90099127/,2020-12-29 10:29:37.983113+00:00,sale
"Flat / Apartment in S'Arenal, Llucmajor",Mallorca,Llucmajor,165000,2,87,https://www.idealista.com/en/inmueble/87667824/,2020-12-29 10:29:37.985601+00:00,sale
"Flat / Apartment in Son Gotleu, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,3,90,https://www.idealista.com/en/inmueble/91393487/,2020-12-29 10:29:37.987921+00:00,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,148000,3,93,https://www.idealista.com/en/inmueble/90353663/,2020-12-29 10:29:37.990399+00:00,sale
"Flat / Apartment in paseo born, Binissalem",Mallorca,Binissalem,198000,3,126,https://www.idealista.com/en/inmueble/91395075/,2020-12-29 10:29:37.992757+00:00,sale
"Flat / Apartment in Joaquin Turina, Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,198000,3,104,https://www.idealista.com/en/inmueble/91377040/,2020-12-29 10:29:37.995128+00:00,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,178500,4,95,https://www.idealista.com/en/inmueble/91417720/,2020-12-29 10:29:37.997526+00:00,sale
"Flat / Apartment in Henri Dunant, 38, Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,149000,2,70,https://www.idealista.com/en/inmueble/91029718/,2020-12-29 10:29:37.999877+00:00,sale
"Flat / Apartment in Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,177000,3,76,https://www.idealista.com/en/inmueble/91244300/,2020-12-29 10:29:38.002550+00:00,sale
"Flat / Apartment in Ficus, NN, Sa Coma",Mallorca,Sa Coma,190000,2,70,https://www.idealista.com/en/inmueble/91385894/,2020-12-29 10:29:38.005074+00:00,sale
"Flat / Apartment in reyes catolicos, Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,156000,3,98,https://www.idealista.com/en/inmueble/91415123/,2020-12-29 10:29:38.007648+00:00,sale
"Flat / Apartment in Cristo Rey - Parque Europa, Inca",Mallorca,Inca,185000,3,114,https://www.idealista.com/en/inmueble/90693877/,2020-12-29 10:29:38.010195+00:00,sale
"Flat / Apartment in avenida Tomàs de Villanueva Cortés, Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,195000,4,120,https://www.idealista.com/en/inmueble/91412556/,2020-12-29 10:29:38.012632+00:00,sale
"Flat / Apartment in JERONI POU, NN, Foners, Palma de Mallorca",Mallorca,Palma de Mallorca,199000,3,98,https://www.idealista.com/en/inmueble/91360467/,2020-12-29 10:29:38.015090+00:00,sale
"Flat / Apartment in Ses Cadenes-Arenal, Palma de Mallorca",Mallorca,Palma de Mallorca,159000,2,63,https://www.idealista.com/en/inmueble/91395227/,2020-12-29 10:29:38.017651+00:00,sale
"Flat / Apartment in calle Pere Ripoll i Palou, Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,150000,3,80,https://www.idealista.com/en/inmueble/91395723/,2020-12-29 10:29:38.019999+00:00,sale
"Flat / Apartment in Cristo Rey - Parque Europa, Inca",Mallorca,Inca,175000,4,180,https://www.idealista.com/en/inmueble/91237867/,2020-12-29 10:29:38.022411+00:00,sale
"Flat / Apartment in La Bonanova - Porto Pi, Palma de Mallorca",Mallorca,Palma de Mallorca,155000,2,65,https://www.idealista.com/en/inmueble/91377220/,2020-12-29 10:29:38.024945+00:00,sale
"Flat / Apartment in calle Puerto Rico, Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,168900,3,100,https://www.idealista.com/en/inmueble/90634074/,2020-12-29 10:29:38.027461+00:00,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,149000,2,90,https://www.idealista.com/en/inmueble/90395989/,2020-12-29 10:29:38.029896+00:00,sale
Flat / Apartment in Pobla (Sa),Mallorca,Pobla (Sa),160000,3,100,https://www.idealista.com/en/inmueble/89905661/,2020-12-29 10:29:38.032270+00:00,sale
"Penthouse in calle de Rocinante, Son Ferriol, Palma de Mallorca",Mallorca,Palma de Mallorca,145000,2,79,https://www.idealista.com/en/inmueble/91088863/,2020-12-29 10:29:38.034749+00:00,sale
"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,184000,3,97,https://www.idealista.com/en/inmueble/36508131/,2020-12-29 10:29:38.037280+00:00,sale
"Flat / Apartment in Son Xigala, Palma de Mallorca",Mallorca,Palma de Mallorca,178000,3,95,https://www.idealista.com/en/inmueble/91378033/,2020-12-29 10:29:38.039665+00:00,sale
Flat / Apartment in Campos,Mallorca,Campos,170000,3,90,https://www.idealista.com/en/inmueble/91381396/,2020-12-29 10:29:38.042093+00:00,sale
"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,139500,2,79,https://www.idealista.com/en/inmueble/91393405/,2020-12-29 10:29:38.044637+00:00,sale
"Flat / Apartment in Llucmajor Interior, Llucmajor",Mallorca,Llucmajor,189000,2,90,https://www.idealista.com/en/inmueble/87471699/,2020-12-29 10:29:38.047074+00:00,sale
"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,169000,3,93,https://www.idealista.com/en/inmueble/91424216/,2020-12-29 10:29:38.049450+00:00,sale
"Penthouse in Joan Mas i Mates, Sant Joan",Mallorca,Sant Joan,199000,3,285,https://www.idealista.com/en/inmueble/91209640/,2020-12-29 10:29:38.051798+00:00,sale
"Flat / Apartment in xerubi, Cala Millor",Mallorca,Cala Millor,165000,2,70,https://www.idealista.com/en/inmueble/91407436/,2020-12-29 10:29:38.054314+00:00,sale
"Flat / Apartment in La Seu - Cort - Monti-Sion, Palma de Mallorca",Mallorca,Palma de Mallorca,180000,2,55,https://www.idealista.com/en/inmueble/91264165/,2020-12-29 10:29:38.057057+00:00,sale
"Flat / Apartment in Hostalets - Son Fortesa Sud, Palma de Mallorca",Mallorca,Palma de Mallorca,123000,3,85,https://www.idealista.com/en/inmueble/91393788/,2020-12-29 10:29:38.059552+00:00,sale
"Flat / Apartment in reyes catolicos, Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,159000,3,98,https://www.idealista.com/en/inmueble/91382003/,2020-12-29 10:29:38.062133+00:00,sale
"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,190900,3,97,https://www.idealista.com/en/inmueble/88777446/,2020-12-29 10:29:38.064649+00:00,sale
"Flat / Apartment in Son Cotoner, Palma de Mallorca",Mallorca,Palma de Mallorca,177000,3,98,https://www.idealista.com/en/inmueble/91419946/,2020-12-29 10:29:38.067227+00:00,sale
"Flat / Apartment in Pare guien vives, 23, Foners, Palma de Mallorca",Mallorca,Palma de Mallorca,189500,3,111,https://www.idealista.com/en/inmueble/90959931/,2020-12-29 10:29:38.069770+00:00,sale
"Flat / Apartment in Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,129000,3,87,https://www.idealista.com/en/inmueble/91408269/,2020-12-29 10:29:38.072061+00:00,sale
"Penthouse in calle tirant lo balnc, Cristo Rey - Parque Europa, Inca",Mallorca,Inca,199500,3,121,https://www.idealista.com/en/inmueble/90398718/,2020-12-29 10:29:38.074371+00:00,sale
"Flat / Apartment in PADRE GUILLEM VIVES, NN, Foners, Palma de Mallorca",Mallorca,Palma de Mallorca,189500,3,111,https://www.idealista.com/en/inmueble/90746466/,2020-12-29 10:29:38.076672+00:00,sale
"Flat / Apartment in Antoni de Montis, 12, Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,165000,2,69,https://www.idealista.com/en/inmueble/90307821/,2020-12-29 10:29:38.079090+00:00,sale
"Penthouse in calle d'Alòs, Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,179000,2,73,https://www.idealista.com/en/inmueble/90305723/,2020-12-29 10:29:38.081608+00:00,sale
"Flat / Apartment in Esperanto, 43, Son Ferriol, Palma de Mallorca",Mallorca,Palma de Mallorca,170000,3,94,https://www.idealista.com/en/inmueble/89752922/,2020-12-29 10:29:38.084030+00:00,sale
"Flat / Apartment in Bons Aires, Palma de Mallorca",Mallorca,Palma de Mallorca,186000,3,100,https://www.idealista.com/en/inmueble/91381359/,2020-12-29 10:29:38.086494+00:00,sale
"Flat / Apartment in PONCIR, Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,169000,3,100,https://www.idealista.com/en/inmueble/91394445/,2020-12-29 10:29:38.089167+00:00,sale
"Flat / Apartment in calle Paraires, 2, Centro, Inca",Mallorca,Inca,180000,4,175,https://www.idealista.com/en/inmueble/90366743/,2020-12-29 10:29:38.091925+00:00,sale
"Flat / Apartment in avenida Parc, 84, Manacor Centro, Manacor",Mallorca,Manacor,175000,3,112,https://www.idealista.com/en/inmueble/89068845/,2020-12-29 10:29:38.094362+00:00,sale
"Flat / Apartment in calle Puig d'Alaró, Cala Major, Palma de Mallorca",Mallorca,Palma de Mallorca,142000,2,70,https://www.idealista.com/en/inmueble/87919807/,2020-12-29 10:29:38.096909+00:00,sale
"Flat / Apartment in albacete, Camp Redo, Palma de Mallorca",Mallorca,Palma de Mallorca,159000,3,70,https://www.idealista.com/en/inmueble/91380443/,2020-12-29 10:29:38.099459+00:00,sale
"Penthouse in calle Aragón, Hostalets - Son Fortesa Sud, Palma de Mallorca",Mallorca,Palma de Mallorca,175000,3,90,https://www.idealista.com/en/inmueble/91379137/,2020-12-29 10:29:38.102113+00:00,sale
"Penthouse in calle d'En Joan Lliteras, 32, Manacor Centro, Manacor",Mallorca,Manacor,140000,2,100,https://www.idealista.com/en/inmueble/91373276/,2020-12-29 10:29:38.104590+00:00,sale
"Duplex in calle Frontó, Sineu",Mallorca,Sineu,183600,2,80,https://www.idealista.com/en/inmueble/91087842/,2020-12-29 10:29:38.107035+00:00,sale
"Flat / Apartment in CARACAS, Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,166000,3,95,https://www.idealista.com/en/inmueble/91071450/,2020-12-29 10:29:38.109459+00:00,sale
"Flat / Apartment in travesía Jesús, Bons Aires, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,4,108,https://www.idealista.com/en/inmueble/90542389/,2020-12-29 10:29:38.111895+00:00,sale
"Flat / Apartment in Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,190000,4,92,https://www.idealista.com/en/inmueble/91296787/,2020-12-29 10:29:38.114316+00:00,sale
"Flat / Apartment in Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,184000,4,98,https://www.idealista.com/en/inmueble/91192645/,2020-12-29 10:29:38.116619+00:00,sale
"Penthouse in calle de Rafel Albertí, Blanquer, Inca",Mallorca,Inca,175000,2,129,https://www.idealista.com/en/inmueble/89963129/,2020-12-29 10:29:38.119015+00:00,sale
"Flat / Apartment in Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,185000,4,100,https://www.idealista.com/en/inmueble/90929416/,2020-12-29 10:29:38.121433+00:00,sale
"Flat / Apartment in calle ceres, NN, Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,155000,3,95,https://www.idealista.com/en/inmueble/91348726/,2020-12-29 10:29:38.123849+00:00,sale
"Flat / Apartment in calle d'En Nuno Sanç, Manacor Centro, Manacor",Mallorca,Manacor,139000,3,109,https://www.idealista.com/en/inmueble/90967521/,2020-12-29 10:29:38.126287+00:00,sale
"Flat / Apartment in calle des Colomer, Campos",Mallorca,Campos,139480,3,112,https://www.idealista.com/en/inmueble/91074159/,2020-12-29 10:29:38.128787+00:00,sale
Flat / Apartment in Santa Margalida,Mallorca,Santa Margalida,165000,3,90,https://www.idealista.com/en/inmueble/90997629/,2020-12-29 10:29:38.131272+00:00,sale
"Flat / Apartment in Passatge Particular d'Escorca, Rafal Nou - Estadi Balear - Son Malferit, Palma de Mallorca",Mallorca,Palma de Mallorca,143000,3,85,https://www.idealista.com/en/inmueble/90376250/,2020-12-29 10:29:38.133763+00:00,sale
Flat / Apartment in Pobla (Sa),Mallorca,Pobla (Sa),155000,3,180,https://www.idealista.com/en/inmueble/89746428/,2020-12-29 10:29:38.136145+00:00,sale
"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,2,77,https://www.idealista.com/en/inmueble/91423847/,2020-12-29 10:29:38.138600+00:00,sale
"Flat / Apartment in CABRERA, 2, Pont d'Inca, Marratxi",Mallorca,Marratxi,128000,3,70,https://www.idealista.com/en/inmueble/91208403/,2020-12-29 10:29:38.141119+00:00,sale
"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,180500,3,105,https://www.idealista.com/en/inmueble/90985101/,2020-12-29 10:29:38.143534+00:00,sale
"Penthouse in Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",Mallorca,Palma de Mallorca,134900,3,74,https://www.idealista.com/en/inmueble/90722691/,2020-12-29 10:29:38.145984+00:00,sale
"Flat / Apartment in calle Sagasta, Pobla (Sa)",Mallorca,Pobla (Sa),149900,3,108,https://www.idealista.com/en/inmueble/90659293/,2020-12-29 10:29:38.148324+00:00,sale
"Flat / Apartment in de josep maria llompart, Cristo Rey - Parque Europa, Inca",Mallorca,Inca,177000,3,110,https://www.idealista.com/en/inmueble/90650673/,2020-12-29 10:29:38.150741+00:00,sale
"Flat / Apartment in estacion, Porreres",Mallorca,Porreres,155000,2,101,https://www.idealista.com/en/inmueble/90622472/,2020-12-29 10:29:38.153287+00:00,sale
"Flat / Apartment in calle Camp redó, Camp Redo, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,2,80,https://www.idealista.com/en/inmueble/90621326/,2020-12-29 10:29:38.155734+00:00,sale
"Flat / Apartment in calle pere seriol, Andratx Pueblo, Andratx",Mallorca,Andratx,199900,2,101,https://www.idealista.com/en/inmueble/90618872/,2020-12-29 10:29:38.158173+00:00,sale
"Penthouse in calle Llotgeta, Sindicat, Palma de Mallorca",Mallorca,Palma de Mallorca,194900,2,90,https://www.idealista.com/en/inmueble/90558750/,2020-12-29 10:29:38.160578+00:00,sale
"Penthouse in calle Escorpora, S'Illot-Cala Morlanda, Manacor",Mallorca,Manacor,135000,3,122,https://www.idealista.com/en/inmueble/90357882/,2020-12-29 10:29:38.163138+00:00,sale
"Flat / Apartment in calle manacor, Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,169900,3,95,https://www.idealista.com/en/inmueble/90253348/,2020-12-29 10:29:38.165600+00:00,sale
"Duplex in CL TRAMUNTANA, Sineu",Mallorca,Sineu,199900,3,117,https://www.idealista.com/en/inmueble/90241314/,2020-12-29 10:29:38.167912+00:00,sale
"Flat / Apartment in illes balears, Porreres",Mallorca,Porreres,182000,3,123,https://www.idealista.com/en/inmueble/89852857/,2020-12-29 10:29:38.170387+00:00,sale
"Flat / Apartment in reyes catolics, Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,199900,3,93,https://www.idealista.com/en/inmueble/88165344/,2020-12-29 10:29:38.172763+00:00,sale
"Flat / Apartment in Son Corb, 35, Cala Millor",Mallorca,Cala Millor,147000,3,88,https://www.idealista.com/en/inmueble/90697619/,2020-12-29 10:29:38.175236+00:00,sale
"Flat / Apartment in Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,129000,3,94,https://www.idealista.com/en/inmueble/89864209/,2020-12-29 10:29:38.177692+00:00,sale
"Flat / Apartment in calle de Fra Antoni Llinàs, 32, Cas Capiscol, Palma de Mallorca",Mallorca,Palma de Mallorca,172000,3,162,https://www.idealista.com/en/inmueble/88497620/,2020-12-29 10:29:38.180002+00:00,sale
"Penthouse in MARINA, Colonia de Sant Jordi",Mallorca,Colonia de Sant Jordi,185000,2,125,https://www.idealista.com/en/inmueble/91354540/,2020-12-29 10:29:38.182425+00:00,sale
"Flat / Apartment in calle de son Nadal, La Soledat, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,4,140,https://www.idealista.com/en/inmueble/90889001/,2020-12-29 10:29:38.184808+00:00,sale
"Penthouse in calle de Santiago Álvarez Avellan, Sa Indiotería - Son Castelló, Palma de Mallorca",Mallorca,Palma de Mallorca,162000,4,115,https://www.idealista.com/en/inmueble/88876479/,2020-12-29 10:29:38.187195+00:00,sale
"Flat / Apartment in calle de Joan Alcover, 22, Montuiri",Mallorca,Montuiri,169000,3,140,https://www.idealista.com/en/inmueble/87056158/,2020-12-29 10:29:38.189701+00:00,sale
"Flat / Apartment in travesía Jesús, Bons Aires, Palma de Mallorca",Mallorca,Palma de Mallorca,184000,3,79,https://www.idealista.com/en/inmueble/82307850/,2020-12-29 10:29:38.192005+00:00,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,157000,3,75,https://www.idealista.com/en/inmueble/91388700/,2020-12-29 10:29:38.194440+00:00,sale
Flat / Apartment in Sa Coma,Mallorca,Sa Coma,180000,3,93,https://www.idealista.com/en/inmueble/91312189/,2020-12-29 10:29:38.196765+00:00,sale
"Flat / Apartment in calle Sant Rafael, La Soledat, Palma de Mallorca",Mallorca,Palma de Mallorca,179000,3,92,https://www.idealista.com/en/inmueble/90349027/,2020-12-29 10:29:38.199173+00:00,sale
"Flat / Apartment in calle d'Aragó, Hostalets - Son Fortesa Sud, Palma de Mallorca",Mallorca,Palma de Mallorca,179000,3,94,https://www.idealista.com/en/inmueble/87655948/,2020-12-29 10:29:38.201742+00:00,sale
"Flat / Apartment in calle de Gràcia, Llucmajor Interior, Llucmajor",Mallorca,Llucmajor,185000,3,125,https://www.idealista.com/en/inmueble/89937491/,2020-12-29 10:29:38.204245+00:00,sale
"Flat / Apartment in calle de Faust Bonafè, Son Ferriol, Palma de Mallorca",Mallorca,Palma de Mallorca,174000,2,53,https://www.idealista.com/en/inmueble/89683174/,2020-12-29 10:29:38.206795+00:00,sale
"Penthouse in malgrana, Son Cladera - Son Fuster, Palma de Mallorca",Mallorca,Palma de Mallorca,128000,3,82,https://www.idealista.com/en/inmueble/89417897/,2020-12-29 10:29:38.209237+00:00,sale
"Flat / Apartment in asuncion, 4, Portocolom, Felanitx",Mallorca,Felanitx,149900,2,58,https://www.idealista.com/en/inmueble/87218091/,2020-12-29 10:29:38.211659+00:00,sale
"Flat / Apartment in calle de la cimentera, Campos",Mallorca,Campos,185000,3,114,https://www.idealista.com/en/inmueble/91337939/,2020-12-29 10:29:38.214195+00:00,sale
"Flat / Apartment in Isaac Peral, 7, Portocolom, Felanitx",Mallorca,Felanitx,170000,2,70,https://www.idealista.com/en/inmueble/91284175/,2020-12-29 10:29:38.216569+00:00,sale
"Flat / Apartment in Orellana, Can Picafort, Santa Margalida",Mallorca,Santa Margalida,184000,3,85,https://www.idealista.com/en/inmueble/90772350/,2020-12-29 10:29:38.218973+00:00,sale
"Flat / Apartment in calle del Lledoner, Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,184900,3,85,https://www.idealista.com/en/inmueble/90627410/,2020-12-29 10:29:38.221421+00:00,sale
"Flat / Apartment in Foners, Palma de Mallorca",Mallorca,Palma de Mallorca,178000,3,115,https://www.idealista.com/en/inmueble/89912166/,2020-12-29 10:29:38.223883+00:00,sale
"Flat / Apartment in calle Pascual Ribot, Son Cotoner, Palma de Mallorca",Mallorca,Palma de Mallorca,180000,3,100,https://www.idealista.com/en/inmueble/91280016/,2020-12-29 10:29:38.226330+00:00,sale
"Flat / Apartment in calle de Martí Boneo, Son Dameto, Palma de Mallorca",Mallorca,Palma de Mallorca,179000,3,75,https://www.idealista.com/en/inmueble/91120809/,2020-12-29 10:29:38.228784+00:00,sale
"Flat / Apartment in avenida Mèxic, 4, Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,165000,3,76,https://www.idealista.com/en/inmueble/91037565/,2020-12-29 10:29:38.231224+00:00,sale
"Flat / Apartment in Marina, Colonia de Sant Jordi",Mallorca,Colonia de Sant Jordi,185000,3,79,https://www.idealista.com/en/inmueble/89922419/,2020-12-29 10:29:38.233623+00:00,sale
"Flat / Apartment in calle sol, 65, Porreres",Mallorca,Porreres,125000,2,75,https://www.idealista.com/en/inmueble/83880147/,2020-12-29 10:29:38.235970+00:00,sale
"Flat / Apartment in Formentor, 36, Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,139000,3,109,https://www.idealista.com/en/inmueble/87387518/,2020-12-29 10:29:38.238452+00:00,sale
"Flat / Apartment in calle murillo, Cala Pi-Vallgornera, Llucmajor",Mallorca,Llucmajor,170000,2,80,https://www.idealista.com/en/inmueble/89021138/,2020-12-29 10:29:38.241007+00:00,sale
"Flat / Apartment in calle de Santa Margalida, Sa Torre, Llucmajor",Mallorca,Llucmajor,175000,2,88,https://www.idealista.com/en/inmueble/91231389/,2020-12-29 10:29:38.243392+00:00,sale
"Flat / Apartment in calle aragón, Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,189000,3,115,https://www.idealista.com/en/inmueble/91224346/,2020-12-29 10:29:38.245880+00:00,sale
"Flat / Apartment in avenida d'Antoni Maura, Pont d'Inca, Marratxi",Mallorca,Marratxi,190000,3,110,https://www.idealista.com/en/inmueble/91148619/,2020-12-29 10:29:38.248290+00:00,sale
"Flat / Apartment in Antoni Maria Alcover, NN, S'Arenal, Llucmajor",Mallorca,Llucmajor,175000,3,109,https://www.idealista.com/en/inmueble/91053390/,2020-12-29 10:29:38.250732+00:00,sale
"Penthouse in calle de l'Ametler, Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,180000,2,96,https://www.idealista.com/en/inmueble/90872845/,2020-12-29 10:29:38.253212+00:00,sale
"Flat / Apartment in calle de Ses Salines, Rafal Nou - Estadi Balear - Son Malferit, Palma de Mallorca",Mallorca,Palma de Mallorca,198500,2,83,https://www.idealista.com/en/inmueble/90949872/,2020-12-29 10:29:38.255676+00:00,sale
"Flat / Apartment in Font d sa vila, NN, Andratx Pueblo, Andratx",Mallorca,Andratx,185000,2,75,https://www.idealista.com/en/inmueble/90652650/,2020-12-29 10:29:38.258238+00:00,sale
